book_id,title,authors,top_genre,average_rating,ratings_count
25317381,Smoke,Catherine McKenzie,fiction,3.69,1537
9955028,The Language of Light: A Novel,Meg Waite Clayton,fiction,3.33,20
18663978,Fire in the Hole: Stories,Elmore Leonard,fiction,3.87,578
18711347,The Recipe Box,Sandra Lee,fiction,3.13,16
1650286,Fair Game,Paula Gosling,fiction,3.69,11
3113048,"Moonraker (James Bond, #3)",Ian Fleming,fiction,3.71,55
596926,Under Drake's Flag: A Tale of the Spanish Main,G.A. Henty,fiction,3.85,304
218094,A Simple Soul,Gustave Flaubert,fiction,3.52,30
820226,Second Glance,Jodi Picoult,fiction,3.79,334
820227,Second Glance,Jodi Picoult,fiction,3.79,24
1409922,"Hook, Line, and Sinker (Bernard Samson, #4-6)",Len Deighton,fiction,4.24,131
18634986,"One Mile Under (Ty Hauck, #4)",Andrew Gross,fiction,3.83,1018
213185,Petropolis,Anya Ulinich,fiction,3.7,1053
13412289,On the Beach,Nevil Shute,fiction,3.92,12
22677821,Perfect Match,Jodi Picoult,fiction,3.93,17
2153268,"The Alexandria Link (Cotton Malone, #2)",Steve Berry,fiction,3.92,122
18373227,Decompression,Juli Zeh,fiction,3.47,41
11785244,Coming Home,Rosamunde Pilcher,fiction,4.27,486
6452954,Jack Archer,G.A. Henty,fiction,3.78,40
827227,On Chesil Beach,Ian McEwan,fiction,3.54,1135
27993227,The Sunlight Pilgrims,Jenni Fagan,fiction,3.57,49
111006,The Librarian,Larry Beinhart,fiction,3.38,327
361956,Sock,Penn Jillette,fiction,3.47,734
395954,Dancer,Colum McCann,fiction,3.91,102
18657496,The Last Witness (Badge of Honor #11),"W.E.B. Griffin, William E. Butterworth IV",fiction,3.72,305
4241,The Illuminati Papers,Robert Anton Wilson,fiction,3.83,662
23263029,The Protectors,Trey Dowell,fiction,4.24,48
26804808,The Diver's Empty Clothes,Vendela Vida,fiction,3.44,14
264681,Weights and Measures,"Joseph Roth, David LeVay",fiction,3.84,80
28820577,Underground,Ika Natassa,fiction,3.21,34
24874964,How to Be Both,Ali Smith,fiction,3.62,29
2193682,Armadillo,William  Boyd,fiction,3.56,19
8332920,The Millstone,Margaret Drabble,fiction,3.82,81
21519617,The Shining Girls,"Lauren Beukes, Khristine Hvam, Peter Ganim, Jay Snyder",fiction,3.49,11
32868469,"The Ersatz Elevator (A Series of Unfortunate Events, #6)",Lemony Snicket,fiction,4.01,15
22886178,Crepuscule W/ Nellie,Joe Milazzo,fiction,4.44,9
1565754,Our Game,John le Carre,fiction,3.72,3429
540283,Goldfinger (James Bond #7),Ian Fleming,fiction,3.8,109
8797349,Purge,"Sofi Oksanen, Lola Rogers",fiction,3.86,52
